RANK,COIN,PRICE ($),1H (%),24H (%),7D (%),24 H VOLUME  ($),MKT CAP ($),CIRCULATING SUPPLY,ATH ($),ATL($),TRADING VOLUME,INITIAL PRICE ($)
835,0chain ZCN ZCN,0.44,-0.01,0.09,-0.08,"134,900.00","21,674,419.00",0 ZCH,0.01,0.00,0.00 ZCH,0.62
116,0x ZRX ZRX,0.85,0.01,-0.02,-0.21,"241,687,156.00","715,921,393.00","847,496,055 ZRX",2.53,0.10,"1,000,000,000ZRX",0.35
148,1inch 1INCH 1INCH,1.34,0.01,0.02,-0.13,"50,773,653.00","555,042,941.00","415,048,443 1INCH",7.87,0.76,"1,500,000,000 1INCH",1.59
797,3X Long Ethereum Token ETHBULL ETHBULL,220.80,0.01,0.12,-0.13,"1,140,777.00","24,905,714.00",,"29,749.31",33.70,"2,688.7 ETHBULL","4,037.00"
857,88mph MPH MPH,15.96,-0.02,0.07,-0.15,"476,364.00","20,150,109.00","465,279 MPH",229.90,5.98,"485,535.65 MPH",85.16
858,AAG Ventures AAG AAG,0.08,0.01,0.04,-0.11,"67,286.07","20,096,285.00","257,312,164 AAG",0.45,0.03,"1,000,000,000 AAG",0.32
54,Aave AAVE AAVE,169.68,0.01,-0.02,-0.09,"348,116,674.00","2,334,065,794.00","13,713,285 AAVE",666.86,0.00,"16,000,000 AAVE",42.20
384,Aavegotchi GHST GHST,1.89,0.00,0.01,-0.01,"18,462,456.00","113,143,153.00","54,718,491 GHST",3.25,0.42,"56,482,654.82 GHST",0.57
171,Acala ACA ACA,1.15,0.01,0.03,-0.21,"19,745,590.00","428,438,424.00","408,473,590 ACA",0.21,0.00,"100,000,000 ACA",0.42
822,Adappter Token ADP ADP,0.03,0.01,0.05,-0.07,"963,034.00","22,854,810.00","771,516,407 ADP",0.16,0.01,"4,960,497,045 ADP",0.02
379,Adshares ADS ADS,4.55,0.00,0.02,-0.04,"3,497,182.00","114,432,983.00","26,284,179 ADS","1,548.86",0.00,"38,758,206 ADS",0.14
462,Adventure Gold AGLD AGLD,1.05,0.01,0.05,-0.27,"20,224,729.00","80,722,911.00","70,170,001 AGLD",7.63,0.36,"70,170,001 AGLD",3.89
436,Aergo AERGO AERGO,0.24,0.00,0.03,-0.01,"28,048,176.00","88,150,082.00",,0.00,0.00,"100,000,000,000 AERO",0.11
654,Aeternity AE AE,0.10,0.01,0.06,-0.03,"6,345,976.00","41,734,806.00","354,479,013 AE",5.86,0.05,"400,299,956.5 AE",1.33
655,Aion AION AION,0.08,0.00,0.00,-0.10,"2,923,221.00","41,420,206.00","501,505,081 AION",11.51,0.02,"501,505,081 AION",1.21
413,AIOZ Network AIOZ AIOZ,0.17,-0.01,0.07,-0.12,"772,628.00","96,722,351.00","553,434,805 AIOZ",2.67,0.06,"1,000,000,000 AIOZ",1.87
817,AirSwap AST AST,0.13,0.00,0.00,-0.10,"193,210.00","23,225,118.00","150,000,000 AST",2.08,0.01,"500,000,000 AST",0.26
772,Akropolis AKRO AKRO,0.01,0.00,0.02,-0.14,"2,768,637.00","27,539,890.00","4,878,577,183 AKRO",0.09,0.00,"5,000,000,000 AKRO",0.03
979,Alchemist MIST MIST,9.79,0.00,0.09,-0.03,"713,179.00","13,343,739.00","1,138,093 MIST",225.36,5.50,"1,138,093 MIST",177.77
424,Alchemix ALCX ALCX,71.69,0.00,-0.03,-0.06,"6,836,577.00","91,643,580.00","1,287,618 ALCX","11,060.63",28.25,"1,512,254.66 ALCX",1.01
284,Alchemix USD ALUSD ALUSD,1.00,0.00,0.00,0.02,"4,177,426.00","185,968,212.00","238,707,111 ALUSD",2.55,0.93,"3,291,070.18 ALUSD","1,038.46"
362,Alchemy Pay ACH ACH,0.03,0.00,-0.02,-0.16,"9,526,647.00","124,671,982.00","4,438,237,977 ACH",0.20,0.00,"10,000,000,000 ACH",0.03
573,Aleph.im ALEPH ALEPH,0.26,0.00,0.00,0.00,"226,935.00","52,644,395.00","202,678,847 ALEPH",0.87,0.02,"500,000,000 ALEPH",0.07
552,Alethea Artificial Liquid Intelligence Token ALI ALI,0.05,0.00,-0.11,-0.33,"1,493,777.00","56,355,307.00","1,115,000,000 ALI",0.20,0.02,"10,000,000,000 ALI",0.06
33,Algorand ALGO ALGO,0.68,0.00,0.03,-0.08,"139,672,863.00","4,595,587,442.00","6,811,465,445 ALGO",3.28,0.10,"7,219,370,685.07 ALGO",1.54
386,Alien Worlds TLM TLM,0.09,0.01,0.03,-0.10,"48,638,549.00","112,690,692.00","914,030,370 TLM",7.19,0.02,"5,189,345,239.47 TLM",3.38
823,Alkimi $ADS $ADS,0.24,0.00,-0.02,0.01,"157,502.00","22,377,469.00","94,360,245 $ADS",3.87,0.13,0.00 $ADS,0.50
460,AllianceBlock ALBT ALBT,0.19,0.00,0.05,-0.09,"551,502.00","81,432,287.00","232,955,783 ALBT",1.35,0.03,"1,000,000,000 ALBT",0.13
